word	prefix	stem	part of speech	french
aˋ		aˋ	part	est-ce-que?
aˊ		aˊ	d	ces (cl.6).
aˊ		aˊ	conj	morphème á valeur hortative ou exclamative.
aˊ		aˊ	d	(celui/celle/ceux/celles) de.
aˋbaˋ		aˋbaˋ	v	partager, distribuer, fournir.
aˋbaˋkaˋ		aˋbaˋkaˋ	v	distribuer généreusement, dilapider.
aˋbʊˋxaˋ		aˋbʊˋxaˋ	v	être grand ouvert, béer.
aˋbʊˋlaˋ		aˋbʊˋlaˋ	v	ouvrir largement.
aˊbuˊlaˊ		aˊbuˊlaˊ	v	marcher á quatre pattes.
aˋdaˊpʊˊtaˋraˊ		aˋdaˊpʊˊtaˋraˊ	n	prise électrique mâle.
aˊdiˊmaˊ		aˊdiˊmaˊ	v	prêter, emprunter.
aˊdiˊmaˊnaˋ		aˊdiˊmaˊnaˋ	v	être prêteur.
aˊɛˊxaˊ		aˊɛˊxaˊ	v	appuyer.
aˊɛˊxʊˊlʊˋlaˋ		aˊɛˊxʊˊlʊˋlaˋ	v	enlever ce qui est appuyé.
aˊɪˊnaˊ		aˊɪˊnaˊ	v	repasser (linge).
aˊɪˋnɪˊ		aˊɪˋnɪˊ	NA	fer á repasser.
aˊɪˊsɪˊkhɪˋriˊmiˊ		aˊɪˊsɪˊkhɪˋriˊmiˊ	NA	glace.
aˊɸɪˋriˊkaˊ		aˊɸɪˋriˊkaˊ	n	Afrique. - Aferika Borwa : Afrique du Sud.
aˊxaˊ		aˊxaˊ	v	construire, habiter.
aˊxiˊsaˊɲaˋ		aˊxiˊsaˊɲaˋ	v	réconcilier.
aˋiˋlaˋ		aˋiˋlaˋ	v	marcher péniblement.
aˊiˋtʃɪˊ		aˊiˋtʃɪˊ	NA	á vrai dire.
aˋkaˋ		aˋkaˋ	v	mentir.
aˋkaˋbaˋlaˋ		aˋkaˋbaˋlaˋ	v	être perplexe.
aˋkaˋbaˋtʃaˋ		aˋkaˋbaˋtʃaˋ	v	rendre perplexe.
aˊkaˊɲaˊ		aˊkaˊɲaˊ	v	penser, estimer, imaginer, inventer, réfléchir, se représenter, songer.
aˊkaˊɲɛˊsɛˋxaˋ		aˊkaˊɲɛˊsɛˋxaˋ	v	être imaginable.
aˊkaˊɲeˊtʃaˋ		aˊkaˊɲeˊtʃaˋ	v	considérer, penser á, prendre en considération.
aˊkaˊreˊtsaˋ		aˊkaˊreˊtsaˋ	v	inclure, comprendre.
aˋkɛˋlaˋ		aˋkɛˋlaˋ	v	mentir á, mentir á propos de.
aˊkɪˋrɪˊ		aˊkɪˋrɪˊ	NA	hectare.
aˋkeˋtʃaˋ		aˋkeˋtʃaˋ	v	mentir á.
aˋkxaˋ		aˋkxaˋ	v	balancer, secouer, tenir (un seau) par une anse.
aˋkxɛˋxaˋ		aˋkxɛˋxaˋ	v	pendre, se balancer.
aˋkxɛˋlaˋ		aˋkxɛˋlaˋ	v	donner son opinion sur, commenter.
aˋkxʊˋlaˋ		aˋkxʊˋlaˋ	v	faire sauter en l'air, féliciter.
aˋkʊˋɸaˋ		aˋkʊˋɸaˋ	v	se dépêcher, se hâter.
aˋlaˋ		aˋlaˋ	v	étendre, tendre.
